trip_id,run_id,truck_id,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,queue_wait_service_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
44,1,0,load_zone_24,dump_zone_3,2166.97,2318.92,2321.94,2323.94,2485.46,2498.77,151.95,3.03,0.0,161.51,13.32,331.81,1000.0,1.0358,2.7759
45,1,2,load_zone_27,dump_zone_3,2327.36,2479.87,2483.15,2485.15,2681.01,2683.88,152.51,3.28,0.0,195.86,2.87,356.52,1000.0,1.0,2.6799
46,1,1,load_zone_27,dump_zone_3,2495.94,2628.18,2631.22,2633.22,2788.55,2791.73,132.24,3.05,0.0,155.32,3.18,295.79,1000.0,0.9545,2.558
47,1,0,load_zone_27,dump_zone_3,2498.77,2640.71,2643.69,2645.69,2780.71,2794.57,141.94,2.98,0.0,135.02,13.86,295.79,1000.0,0.975,2.6131
48,1,2,load_zone_27,dump_zone_3,2683.88,2823.15,2825.88,2827.88,2989.68,2992.46,139.27,2.74,0.0,161.8,2.78,308.58,1000.0,1.2488,3.3467
49,1,1,load_zone_27,dump_zone_3,2791.73,2926.08,2929.35,2931.35,3080.07,3083.51,134.35,3.28,0.0,148.72,3.44,291.78,1000.0,0.9089,2.4359
50,1,0,load_zone_27,dump_zone_3,2794.57,2939.93,2943.19,2945.19,3112.67,3115.52,145.36,3.26,0.0,167.48,2.85,320.95,1000.0,1.0043,2.6915
51,1,2,load_zone_27,dump_zone_3,2992.46,3151.55,3154.49,3156.49,3325.19,3328.17,159.09,2.94,0.0,168.7,2.98,335.71,1000.0,0.888,2.3798
52,1,1,load_zone_27,dump_zone_3,3083.51,3230.43,3233.46,3235.46,3395.01,3397.93,146.92,3.03,0.0,159.55,2.92,314.42,1000.0,1.0781,2.8893
53,1,0,load_zone_24,dump_zone_3,3115.52,3282.78,3285.83,3287.83,3448.24,3451.25,167.25,3.05,0.0,160.41,3.01,335.73,1000.0,1.0265,2.751
54,1,2,load_zone_24,dump_zone_3,3328.17,3473.96,3476.94,3478.94,3641.39,3644.71,145.79,2.99,0.0,162.45,3.31,316.54,1000.0,1.188,3.1839
55,1,1,load_zone_24,dump_zone_3,3397.93,3557.43,3560.26,3562.26,3711.03,3714.21,159.5,2.83,0.0,148.77,3.18,316.28,1000.0,1.0535,2.8233
56,1,0,load_zone_24,dump_zone_3,3451.25,3611.91,3615.05,3617.05,3753.38,3756.44,160.66,3.14,0.0,136.33,3.07,305.2,1000.0,0.9125,2.4455
57,1,2,load_zone_24,dump_zone_3,3644.71,3793.59,3796.6,3798.6,3960.38,3963.34,148.88,3.01,0.0,161.78,2.96,318.63,1000.0,1.0159,2.7226
58,1,1,load_zone_24,dump_zone_3,3714.21,3865.81,3869.03,3871.03,4031.4,4034.02,151.6,3.22,0.0,160.37,2.62,319.81,1000.0,1.0022,2.6859
59,1,0,load_zone_24,dump_zone_3,3756.44,3913.35,3916.29,3918.29,4080.48,4083.22,156.9,2.94,0.0,162.19,2.74,326.78,1000.0,1.0602,2.8413
60,1,2,load_zone_24,dump_zone_3,3963.34,4139.44,4142.57,4144.57,4283.57,4286.52,176.1,3.13,0.0,139.0,2.95,323.18,1000.0,1.0202,2.7341
61,1,1,load_zone_24,dump_zone_3,4034.02,4175.7,4178.9,4180.9,4335.1,4338.19,141.69,3.2,0.0,154.2,3.09,304.17,1000.0,1.2043,3.2276
62,1,0,load_zone_29,dump_zone_3,4083.22,4259.63,4262.89,4264.89,4436.57,4439.64,176.41,3.26,0.0,171.69,3.07,356.42,1000.0,1.1639,3.1193
63,1,2,load_zone_29,dump_zone_3,4286.52,4443.91,4446.81,4448.81,4615.55,4618.7,157.39,2.9,0.0,166.74,3.15,332.18,1000.0,0.9482,2.5413
64,1,1,load_zone_29,dump_zone_3,4338.19,4509.5,4512.67,4514.67,4678.0,4681.12,171.31,3.18,0.0,163.33,3.11,342.93,1000.0,1.2706,3.4052
65,1,0,load_zone_29,dump_zone_3,4439.64,4610.29,4613.28,4615.28,4760.28,4763.1,170.65,2.99,0.0,145.0,2.82,323.46,1000.0,1.0192,2.7314
66,1,2,load_zone_29,dump_zone_3,4618.7,4799.41,4802.3,4804.3,4978.62,4981.47,180.71,2.9,0.0,174.32,2.85,362.77,1000.0,1.0784,2.8902
67,1,1,load_zone_29,dump_zone_3,4681.12,4826.65,4829.69,4831.69,4988.65,4991.82,145.53,3.05,0.0,156.95,3.17,310.7,1000.0,1.1403,3.0561
68,1,0,load_zone_29,dump_zone_3,4763.1,4894.77,4897.78,4899.78,5069.68,5072.74,131.67,3.01,0.0,169.9,3.06,309.64,1000.0,1.2486,3.3463
69,1,2,load_zone_29,dump_zone_3,4981.47,5116.08,5119.17,5121.17,5279.19,5281.95,134.61,3.09,0.0,158.02,2.76,300.48,1000.0,1.2335,3.3059
70,1,1,load_zone_29,dump_zone_3,4991.82,5157.79,5160.71,5162.71,5339.8,5342.92,165.97,2.91,0.0,177.09,3.12,351.1,1000.0,1.1898,3.1885
71,1,0,load_zone_29,dump_zone_3,5072.74,5236.96,5240.0,5242.0,5410.97,5413.84,164.22,3.04,0.0,168.97,2.87,341.1,1000.0,1.059,2.8382
72,1,2,load_zone_25,dump_zone_3,5281.95,5466.7,5469.85,5471.85,5666.62,5669.46,184.75,3.15,0.0,194.78,2.84,387.52,1000.0,1.2112,3.2459
73,1,1,load_zone_25,dump_zone_3,5342.92,5552.12,5554.99,5556.99,5734.73,5737.76,209.2,2.88,0.0,177.74,3.03,394.84,1000.0,1.3301,3.5646
74,1,0,load_zone_25,dump_zone_3,5413.84,5601.05,5604.17,5606.17,5815.25,5818.37,187.2,3.13,0.0,209.07,3.13,404.53,1000.0,1.2945,3.4692
75,1,2,load_zone_25,dump_zone_3,5669.46,5891.32,5894.02,5896.02,6081.9,6085.14,221.86,2.7,0.0,185.88,3.24,415.68,1000.0,1.1704,3.1366
76,1,1,load_zone_25,dump_zone_3,5737.76,5926.41,5929.17,5931.17,6139.95,6142.76,188.64,2.76,0.0,208.78,2.81,404.99,1000.0,1.0301,2.7607
77,1,0,load_zone_25,dump_zone_3,5818.37,5993.52,5996.6,5998.6,6194.23,6197.27,175.15,3.08,0.0,195.63,3.04,378.89,1000.0,1.0532,2.8226
78,1,2,load_zone_25,dump_zone_3,6085.14,6237.61,6240.53,6242.53,6432.34,6435.41,152.47,2.93,0.0,189.8,3.07,350.27,1000.0,1.3126,3.5178
79,1,1,load_zone_25,dump_zone_3,6142.76,6331.86,6334.89,6336.89,6537.36,6540.44,189.1,3.03,0.0,200.47,3.08,397.68,1000.0,1.1401,3.0554
80,1,0,load_zone_25,dump_zone_3,6197.27,6381.61,6384.73,6386.73,6578.69,6581.63,184.34,3.12,0.0,191.95,2.94,384.36,1000.0,1.2904,3.4583
81,1,2,load_zone_25,dump_zone_3,6435.41,6618.46,6621.58,6623.58,6810.79,6813.49,183.05,3.12,0.0,187.2,2.7,378.08,1000.0,1.0675,2.8609
82,2,0,load_zone_22,dump_zone_23,7.16,59.04,62.2,64.2,108.05,111.25,51.88,3.16,0.0,43.85,3.2,104.1,1000.0,0.3295,0.8831
83,2,1,load_zone_22,dump_zone_23,30.48,89.32,92.2,94.2,137.68,140.59,58.84,2.87,0.0,43.49,2.91,110.11,1000.0,0.2827,0.7576
84,2,2,load_zone_22,dump_zone_23,34.03,83.35,95.32,97.32,139.25,143.85,49.32,11.97,8.85,41.93,4.6,109.82,1000.0,0.2859,0.7663
85,2,0,load_zone_22,dump_zone_23,111.25,166.01,169.08,171.08,210.66,213.64,54.76,3.07,0.0,39.58,2.98,102.39,1000.0,0.2711,0.7264
86,2,1,load_zone_22,dump_zone_23,140.59,197.63,200.55,202.55,243.63,246.47,57.03,2.92,0.0,41.08,2.84,105.87,1000.0,0.3101,0.831
87,2,2,load_zone_22,dump_zone_23,143.85,198.76,203.6,205.6,248.11,251.17,54.91,4.84,1.79,42.52,3.05,107.31,1000.0,0.3756,1.0067
88,2,0,load_zone_22,dump_zone_23,213.64,265.27,268.43,270.43,308.5,311.45,51.63,3.16,0.0,38.07,2.95,97.81,1000.0,0.3688,0.9883
89,2,1,load_zone_22,dump_zone_23,246.47,301.19,304.24,306.24,348.95,352.25,54.72,3.05,0.0,42.72,3.29,105.78,1000.0,0.4007,1.0739
90,2,2,load_zone_22,dump_zone_23,251.17,304.55,307.71,309.71,353.44,356.31,53.38,3.16,0.0,43.72,2.87,105.14,1000.0,0.3429,0.9188
91,2,0,load_zone_22,dump_zone_23,311.45,364.43,367.31,369.31,413.56,416.32,52.98,2.87,0.0,44.25,2.76,104.87,1000.0,0.263,0.7049
92,2,1,load_zone_23,dump_zone_22,352.25,398.77,401.73,403.73,454.95,458.24,46.52,2.96,0.0,51.22,3.29,105.99,1000.0,0.398,1.0667
93,2,2,load_zone_23,dump_zone_22,356.31,403.47,406.41,408.41,463.06,466.01,47.16,2.94,0.0,54.65,2.96,109.7,1000.0,0.365,0.9783
94,2,0,load_zone_23,dump_zone_22,416.32,469.94,473.1,475.1,526.83,529.66,53.62,3.16,0.0,51.73,2.83,113.34,1000.0,0.3586,0.9611
95,2,1,load_zone_23,dump_zone_22,458.24,519.94,523.16,525.16,579.28,582.29,61.71,3.21,0.0,54.12,3.01,124.05,1000.0,0.3792,1.0163
96,2,2,load_zone_23,dump_zone_22,466.01,516.87,526.04,528.04,580.49,585.36,50.86,9.17,6.29,52.45,4.87,119.34,1000.0,0.3279,0.8787
97,2,0,load_zone_23,dump_zone_22,529.66,583.47,586.52,588.52,646.31,649.27,53.81,3.05,0.0,57.79,2.96,119.61,1000.0,0.3747,1.0041
98,2,1,load_zone_23,dump_zone_22,582.29,632.12,634.84,636.84,693.99,696.94,49.83,2.73,0.0,57.15,2.95,114.65,1000.0,0.287,0.7693
99,2,2,load_zone_23,dump_zone_22,585.36,630.34,637.98,639.98,698.95,701.84,44.98,7.64,4.51,58.97,2.89,116.49,1000.0,0.3046,0.8162
100,2,0,load_zone_23,dump_zone_22,649.27,688.24,691.6,693.6,744.46,747.53,38.97,3.36,0.0,50.86,3.07,98.26,1000.0,0.3383,0.9068
101,2,1,load_zone_23,dump_zone_22,696.94,749.93,752.89,754.89,801.42,804.44,52.99,2.96,0.0,46.53,3.01,107.49,1000.0,0.3553,0.9522
102,2,2,load_zone_1,dump_zone_2,701.84,804.29,807.39,809.39,892.1,894.99,102.45,3.1,0.0,82.71,2.9,193.15,1000.0,0.6404,1.7163
103,2,0,load_zone_1,dump_zone_2,747.53,856.43,859.3,861.3,935.54,938.74,108.91,2.87,0.0,74.24,3.2,191.22,1000.0,0.5764,1.5448
104,2,1,load_zone_1,dump_zone_2,804.44,911.61,914.82,916.82,994.46,997.48,107.17,3.22,0.0,77.64,3.02,193.05,1000.0,0.6028,1.6156
105,2,2,load_zone_1,dump_zone_2,894.99,1003.41,1006.26,1008.26,1086.42,1089.36,108.41,2.86,0.0,78.16,2.93,194.36,1000.0,0.6142,1.6461
106,2,0,load_zone_1,dump_zone_2,938.74,1023.03,1025.94,1027.94,1112.54,1115.71,84.28,2.92,0.0,84.59,3.17,176.97,1000.0,0.447,1.1978
107,2,1,load_zone_1,dump_zone_2,997.48,1087.77,1090.65,1092.65,1162.28,1165.32,90.29,2.88,0.0,69.63,3.04,167.83,1000.0,0.5771,1.5467
108,2,2,load_zone_1,dump_zone_2,1089.36,1183.75,1186.78,1188.78,1268.25,1271.1,94.4,3.03,0.0,79.46,2.85,181.74,1000.0,0.6292,1.6862
109,2,0,load_zone_1,dump_zone_2,1115.71,1217.17,1220.25,1222.25,1305.22,1308.27,101.46,3.08,0.0,82.97,3.04,192.56,1000.0,0.7072,1.8954
110,2,1,load_zone_1,dump_zone_2,1165.32,1260.99,1263.88,1265.88,1344.39,1347.24,95.68,2.89,0.0,78.51,2.85,181.92,1000.0,0.5145,1.3789
111,2,2,load_zone_1,dump_zone_2,1271.1,1360.6,1363.65,1365.65,1445.68,1448.69,89.5,3.05,0.0,80.03,3.01,177.59,1000.0,0.5427,1.4543
112,2,0,load_zone_26,load_zone_29,1308.27,1430.04,1433.01,1435.01,1517.28,1520.18,121.77,2.98,0.0,82.26,2.9,211.91,1000.0,0.6657,1.7841
113,2,1,load_zone_26,load_zone_29,1347.24,1462.54,1465.53,1467.53,1536.2,1539.24,115.3,2.99,0.0,68.67,3.04,192.0,1000.0,0.5743,1.5392
114,2,2,load_zone_26,load_zone_29,1448.69,1564.01,1567.21,1569.21,1637.84,1641.02,115.32,3.2,0.0,68.63,3.19,192.33,1000.0,0.6152,1.6486
115,2,0,load_zone_26,load_zone_29,1520.18,1637.07,1639.9,1641.9,1704.59,1707.55,116.89,2.83,0.0,62.7,2.96,187.37,1000.0,0.5634,1.51
116,2,1,load_zone_26,load_zone_29,1539.24,1659.32,1662.14,1664.14,1754.22,1757.1,120.08,2.82,0.0,90.08,2.87,217.86,1000.0,0.646,1.7312
117,2,2,load_zone_26,load_zone_29,1641.02,1769.25,1772.29,1774.29,1844.37,1847.64,128.23,3.04,0.0,70.07,3.27,206.62,1000.0,0.5269,1.412
118,2,0,load_zone_26,load_zone_29,1707.55,1809.5,1812.42,1814.42,1889.46,1892.58,101.95,2.92,0.0,75.04,3.12,185.03,1000.0,0.6464,1.7322
119,2,1,load_zone_26,load_zone_29,1757.1,1854.56,1857.47,1859.47,1940.34,1943.54,97.46,2.91,0.0,80.87,3.19,186.44,1000.0,0.5915,1.5852
120,2,2,load_zone_26,load_zone_29,1847.64,1955.44,1958.56,1960.56,2041.59,2044.66,107.8,3.11,0.0,81.03,3.07,197.02,1000.0,0.5247,1.4063
121,2,0,load_zone_26,load_zone_29,1892.58,2011.06,2014.09,2016.09,2087.34,2090.12,118.48,3.04,0.0,71.24,2.79,197.54,1000.0,0.6593,1.7668
122,2,1,load_zone_2,dump_zone_2,1943.54,2051.47,2054.58,2056.58,2134.57,2137.61,107.93,3.11,0.0,78.0,3.04,194.07,1000.0,0.6349,1.7016
123,2,2,load_zone_27,dump_zone_3,2044.66,2211.82,2214.83,2216.83,2374.1,2377.14,167.16,3.0,0.0,157.28,3.04,332.49,1000.0,0.9658,2.5882
124,2,0,load_zone_27,dump_zone_3,2090.12,2245.54,2248.48,2250.48,2406.55,2409.76,155.42,2.94,0.0,156.07,3.2,319.63,1000.0,0.9224,2.4721
125,2,1,load_zone_27,dump_zone_3,2137.61,2258.48,2261.86,2263.86,2447.89,2450.83,120.87,3.38,0.0,184.03,2.94,313.22,1000.0,0.8301,2.2248
126,2,2,load_zone_27,dump_zone_3,2377.14,2523.2,2526.17,2528.17,2687.46,2690.3,146.05,2.97,0.0,159.29,2.83,313.15,1000.0,1.0892,2.9191
127,2,0,load_zone_27,dump_zone_3,2409.76,2565.81,2568.92,2570.92,2714.45,2717.76,156.06,3.1,0.0,143.53,3.31,308.01,1000.0,1.0473,2.8066
128,2,1,load_zone_27,dump_zone_3,2450.83,2596.57,2599.66,2601.66,2762.83,2765.57,145.73,3.09,0.0,161.17,2.74,314.74,1000.0,1.0465,2.8046
129,2,2,load_zone_27,dump_zone_3,2690.3,2835.39,2838.37,2840.37,3027.49,3030.74,145.1,2.97,0.0,187.12,3.25,340.44,1000.0,0.9159,2.4547
130,2,0,load_zone_27,dump_zone_3,2717.76,2874.57,2877.44,2879.44,3046.63,3049.66,156.81,2.87,0.0,167.19,3.03,331.9,1000.0,1.1544,3.0938
131,2,1,load_zone_27,dump_zone_3,2765.57,2911.47,2914.46,2916.46,3057.42,3060.29,145.9,3.0,0.0,140.96,2.86,294.72,1000.0,0.9943,2.6647
132,2,2,load_zone_27,dump_zone_3,3030.74,3179.54,3182.3,3184.3,3325.08,3328.15,148.8,2.76,0.0,140.78,3.07,297.41,1000.0,0.9757,2.615
133,2,0,load_zone_24,dump_zone_3,3049.66,3172.64,3175.68,3177.68,3346.06,3348.96,122.97,3.04,0.0,168.39,2.89,299.3,1000.0,0.8913,2.3888
134,2,1,load_zone_24,dump_zone_3,3060.29,3225.35,3228.71,3230.71,3393.58,3396.64,165.07,3.36,0.0,162.87,3.06,336.35,1000.0,1.0663,2.8577
135,2,2,load_zone_24,dump_zone_3,3328.15,3480.8,3483.9,3485.9,3654.69,3657.88,152.65,3.09,0.0,168.79,3.19,329.73,1000.0,0.973,2.6076
136,2,0,load_zone_24,dump_zone_3,3348.96,3498.29,3501.41,3503.41,3655.77,3661.1,149.33,3.12,0.0,152.37,5.33,312.14,1000.0,0.9794,2.6248
137,2,1,load_zone_24,dump_zone_3,3396.64,3546.1,3549.07,3551.07,3713.49,3716.63,149.46,2.96,0.0,162.42,3.14,319.99,1000.0,0.7954,2.1316
138,2,2,load_zone_24,dump_zone_3,3657.88,3802.36,3805.02,3807.02,3955.54,3958.39,144.49,2.65,0.0,148.52,2.86,300.52,1000.0,0.9326,2.4993
139,2,0,load_zone_24,dump_zone_3,3661.1,3813.33,3816.29,3818.29,3990.84,3993.69,152.23,2.96,0.0,172.55,2.85,332.59,1000.0,1.0207,2.7354
140,2,1,load_zone_24,dump_zone_3,3716.63,3884.34,3887.2,3889.2,4035.27,4038.35,167.71,2.86,0.0,146.07,3.08,321.72,1000.0,1.0038,2.6901
141,2,2,load_zone_24,dump_zone_3,3958.39,4121.13,4124.23,4126.23,4284.5,4287.34,162.73,3.11,0.0,158.27,2.84,328.95,1000.0,1.0253,2.7477
142,2,0,load_zone_24,dump_zone_3,3993.69,4145.8,4148.56,4150.56,4293.59,4296.7,152.11,2.77,0.0,143.03,3.1,303.01,1000.0,0.9905,2.6545
143,2,1,load_zone_29,dump_zone_3,4038.35,4186.39,4189.56,4191.56,4356.14,4358.8,148.04,3.17,0.0,164.58,2.66,320.45,1000.0,0.914,2.4496
144,2,2,load_zone_29,dump_zone_3,4287.34,4436.66,4439.7,4441.7,4626.95,4630.07,149.32,3.04,0.0,185.25,3.12,342.72,1000.0,0.9523,2.5523
145,2,0,load_zone_29,dump_zone_3,4296.7,4443.48,4446.49,4448.49,4620.29,4633.15,146.78,3.01,0.0,171.8,12.86,336.45,1000.0,1.0547,2.8267
146,2,1,load_zone_29,dump_zone_3,4358.8,4523.61,4526.72,4528.72,4696.68,4699.8,164.81,3.12,0.0,167.96,3.12,341.0,1000.0,0.9008,2.4141
147,2,2,load_zone_29,dump_zone_3,4630.07,4762.3,4765.48,4767.48,4946.63,4949.48,132.24,3.18,0.0,179.15,2.85,319.41,1000.0,0.875,2.345
148,2,0,load_zone_29,dump_zone_3,4633.15,4795.65,4798.92,4800.92,4979.13,4982.2,162.5,3.27,0.0,178.21,3.08,349.06,1000.0,1.0349,2.7737
149,2,1,load_zone_29,dump_zone_3,4699.8,4849.5,4852.46,4854.46,5020.47,5023.32,149.7,2.96,0.0,166.01,2.85,323.52,1000.0,1.2951,3.4709
150,2,2,load_zone_29,dump_zone_3,4949.48,5133.72,5136.59,5138.59,5319.52,5322.65,184.24,2.86,0.0,180.93,3.13,373.17,1000.0,1.1437,3.065
151,2,0,load_zone_29,dump_zone_3,4982.2,5149.13,5152.23,5154.23,5336.67,5339.78,166.93,3.1,0.0,182.44,3.11,357.58,1000.0,1.1434,3.0642
152,2,1,load_zone_29,dump_zone_3,5023.32,5188.93,5191.95,5193.95,5336.14,5342.7,165.62,3.01,0.0,142.19,6.56,319.38,1000.0,0.9373,2.512
153,2,2,load_zone_25,dump_zone_3,5322.65,5534.84,5538.05,5540.05,5755.17,5758.2,212.19,3.2,0.0,215.12,3.04,435.56,1000.0,1.3922,3.731
154,2,0,load_zone_25,dump_zone_3,5339.78,5526.99,5540.88,5542.88,5734.93,5761.26,187.21,13.89,11.06,192.05,26.34,421.48,1000.0,1.2339,3.3069
155,2,1,load_zone_25,dump_zone_3,5342.7,5510.24,5543.87,5545.87,5734.08,5764.53,167.54,33.63,30.65,188.21,30.46,421.84,1000.0,1.3362,3.5809
156,2,2,load_zone_25,dump_zone_3,5758.2,5945.41,5948.41,5950.41,6143.15,6146.12,187.2,3.01,0.0,192.74,2.97,387.92,1000.0,1.0937,2.9312
